country,happyness index score,gdp per capita, social support, healthy life expectancy, freedom to make life choices, generosity, perception of corruption, population
finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,5525487
denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,5814461
norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,5345599
iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,362860
netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,17357100
switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,8570146
sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,10302984
new zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,4941130
canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,37808300
austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,8877036
australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,25515200
costa rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,5058007
israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,9112400
luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,613894
ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,4921500
germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,83073100
belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,11492764
united states,6.892,1.433,1.457,0.874,0.454,0.28,0.128,330207000
czech republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,10668641
united arab emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,9770529
malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,493559
mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,126577691
france,6.592,1.324,1.472,1.045,0.436,0.111,0.183,67069000
taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,23593794
chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,19107216
guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,14901286
saudi arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,34218169
qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2747282
spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,46934632
panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,4218808
brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,210690000
uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,3518552
singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,5703600
el salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,6704864
italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,60262701
bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1543300
slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,5450017
poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,38386000
uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,33820928
lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2793486
colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,48258494
slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2084301
